"cod_cidade";"nom_cidade"
540;"AURILANDIA"
541;"AURORA"
542;"AURORA"
544;"AUTAZES"
545;"AVAI"
546;"AVANHANDAVA"
548;"AVEIRO"
549;"AVELINO LOPES"
550;"AVELINOPOLIS"
551;"AXIXA DO TOCANTINS"
552;"BABACULANDIA"
553;"BACABAL"
554;"BACABEIRA"
555;"BACURI"
556;"BADY BASSITT"
557;"BAEPENDI"
558;"BAGE"
559;"BAGRE"
560;"BAIA DA TRAICAO"
561;"BAIA FORMOSA"
562;"BAIANOPOLIS"
563;"BAIAO"
564;"BAIXA GRANDE"
565;"BAIXA GRANDE DO RIBEIRO"
566;"BALBINOS"
567;"BALDIM"
568;"BALNEARIO ARROIO DO SILVA"
569;"BALNEARIO BARRA DO SUL"
570;"BALNEARIO CAMBORIU"
571;"BALNEARIO GAIVOTA"
572;"BALNEARIO PINHAL"
573;"BALSAMO"
574;"BALSA NOVA"
575;"BALSAS"
576;"BAMBUI"
577;"BANABUIU"
578;"BANANAL"
579;"BANANEIRAS"
580;"BANDEIRA DO SUL"
581;"BANDEIRANTE"
582;"BANDEIRANTES"
583;"BANDEIRANTES"
584;"BANNACH"
585;"BANZAE"
586;"BARAO"
587;"BARAO DE ANTONINA"
588;"BARAO DE COCAIS"
589;"BARAO DE COTEGIPE"
590;"BARAO DE GRAJAU"
591;"BARAO DE MELGACO"
592;"BARAO DE MONTE ALTO"
593;"BARAO DO TRIUNFO"
594;"BARAUNA"
595;"BARAUNA"
596;"BARBACENA"
597;"BARBALHA"
598;"BARBOSA"
599;"BARBOSA FERRAZ"
601;"BARCELONA"
602;"BARCELOS"
604;"BARRA"
605;"BARRA BONITA"
606;"BARRA BONITA"
607;"BARRACAO"
608;"BARRACAO"
609;"BARRA DA ESTIVA"
610;"BARRA DE GUABIRABA"
611;"BARRA DE SANTANA"
612;"BARRA DE SANTA ROSA"
613;"BARRA DE SANTO ANTONIO"
615;"BARRA DE SAO MIGUEL"
616;"BARRA DO BUGRES"
617;"BARRA DO CHAPEU"
618;"BARRA DO CHOCA"
619;"BARRA DO CORDA"
620;"BARRA DO GARCAS"
621;"BARRA DO GUARITA"
622;"BARRA DO JACARE"
623;"BARRA DO MENDES"
624;"BARRA DO OURO"
625;"BARRA DO PIRAI"
626;"BARRA DO QUARAI"
627;"BARRA DO RIBEIRO"
628;"BARRA DO RIO AZUL"
629;"BARRA DO ROCHA"
630;"BARRA DOS COQUEIROS"
631;"BARRA DO TURVO"
632;"BARRA FUNDA"
633;"BARRA LONGA"
634;"BARRA MANSA"
635;"BARRAS"
636;"BARRA VELHA"
637;"BARREIRA"
638;"BARREIRAS"
639;"BARREIRINHA"
640;"BARREIRINHAS"
641;"BARREIROS"
644;"BARRO"
645;"BARRO ALTO"
646;"BARRO ALTO"
647;"BARROCAS"
648;"BARRO DURO"
649;"BARROLANDIA"
650;"BARROQUINHA"
651;"BARROS CASSAL"
652;"BARROSO"
653;"BARUERI"
655;"BATAGUASSU"
656;"BATAIPORA"
657;"BATALHA"
658;"BATALHA"
659;"BATATAIS"
660;"BATURITE"
662;"BAYEUX"
664;"BEBERIBE"
665;"BELA CRUZ"
666;"BELA VISTA"
667;"BELA VISTA DE GOIAS"
668;"BELA VISTA DE MINAS"
669;"BELA VISTA DO CAROBA"
670;"BELA VISTA DO MARANHAO"
671;"BELA VISTA DO PARAISO"
672;"BELA VISTA DO TOLDO"
675;"BELEM DE MARIA"
676;"BELEM DE SAO FRANCISCO"
677;"BELEM DO BREJO DO CRUZ"
678;"BELFORD ROXO"
679;"BELMIRO BRAGA"
680;"BELMONTE"
681;"BELMONTE"
682;"BELO CAMPO"
683;"BELO HORIZONTE"
684;"BELO JARDIM"
685;"BELO ORIENTE"
686;"BELO VALE"
1.999;"GUAREI"
687;"BELTERRA"
688;"BENEDITINOS"
689;"BENEDITO LEITE"
690;"BENEDITO NOVO"
692;"BENJAMIN CONSTANT"
693;"BENJAMIN CONSTANT DO SUL"
694;"BENTO DE ABREU"
695;"BENTO FERNANDES"
696;"BENTO GONCALVES"
697;"BEQUIMAO"
698;"BERILO"
699;"BERIZAL"
700;"BERNARDINO BATISTA"
701;"BERNARDINO DE CAMPOS"
702;"BERNARDO DO MEARIM"
703;"BERNARDO SAYAO"
704;"BERTIOGA"
705;"BERTOLINIA"
706;"BERTOPOLIS"
707;"BETANIA"
708;"BETANIA DO PIAUI"
709;"BETIM"
710;"BEZERROS"
711;"BIAS FORTES"
712;"BICAS"
713;"BIGUACU"
714;"BILAC"
715;"BIQUINHAS"
717;"BIRITIBA-MIRIM"
718;"BIRITINGA"
719;"BITURUNA"
720;"BLUMENAU"
721;"BOA ESPERANCA"
722;"BOA ESPERANCA"
723;"BOA ESPERANCA"
724;"BOA ESPERANCA DO IGUACU"
725;"BOA ESPERANCA DO SUL"
726;"BOA HORA"
727;"BOA NOVA"
729;"BOA VENTURA"
730;"BOA VENTURA DE SAO ROQUE"
731;"BOA VIAGEM"
732;"BOA VISTA"
733;"BOA VISTA DA APARECIDA"
734;"BOA VISTA DAS MISSOES"
735;"BOA VISTA DO BURICA"
737;"BOA VISTA DO GURUPI"
738;"BOA VISTA DO INCRA"
739;"BOA VISTA DO SUL"
740;"BOA VISTA DO TUPIM"
741;"BOCA DA MATA"
742;"BOCA DO ACRE"
743;"BOCAINA"
744;"BOCAINA DE MINAS"
745;"BOCAINA DO SUL"
746;"BOCAIUVA"
747;"BOCAIUVA DO SUL"
748;"BODOCO"
749;"BODOQUENA"
750;"BOFETE"
751;"BOITUVA"
752;"BOMBINHAS"
753;"BOM CONSELHO"
754;"BOM DESPACHO"
755;"BOM JARDIM"
756;"BOM JARDIM"
757;"BOM JARDIM"
758;"BOM JARDIM DA SERRA"
759;"BOM JARDIM DE GOIAS"
760;"BOM JARDIM DE MINAS"
761;"BOM JESUS"
762;"BOM JESUS"
763;"BOM JESUS"
764;"BOM JESUS"
765;"BOM JESUS DA LAPA"
766;"BOM JESUS DA PENHA"
767;"BOM JESUS DA SERRA"
768;"BOM JESUS DAS SELVAS"
769;"BOM JESUS DE GOIAS"
770;"BOM JESUS DO AMPARO"
772;"BOM JESUS DO GALHO"
773;"BOM JESUS DO ITABAPOANA"
774;"BOM JESUS DO NORTE"
775;"BOM JESUS DO OESTE"
776;"BOM JESUS DOS PERDOES"
777;"BOM JESUS DO SUL"
778;"BOM JESUS DO TOCANTINS"
779;"BOM PRINCIPIO"
780;"BOM PRINCIPIO DO PIAUI"
781;"BOM PROGRESSO"
782;"BOM REPOUSO"
783;"BOM RETIRO"
784;"BOM RETIRO DO SUL"
785;"BOM SUCESSO"
786;"BOM SUCESSO"
787;"BOM SUCESSO"
788;"BOM SUCESSO DE ITARARE"
789;"BOM SUCESSO DO SUL"
790;"BONFIM"
791;"BONFIM"
792;"BONFINOPOLIS"
793;"BONFINOPOLIS DE MINAS"
794;"BONINAL"
795;"BONITO"
796;"BONITO"
798;"BONITO DE MINAS"
799;"BONITO DE SANTA FE"
800;"BONOPOLIS"
801;"BOQUEIRAO"
802;"BOQUEIRAO DO LEAO"
803;"BOQUEIRAO DO PIAUI"
804;"BOQUIM"
805;"BOQUIRA"
806;"BORA"
807;"BORACEIA"
808;"BORBA"
809;"BORBOREMA"
810;"BORBOREMA"
811;"BORDA DA MATA"
812;"BOREBI"
813;"BORRAZOPOLIS"
814;"BOSSOROCA"
815;"BOTELHOS"
816;"BOTUCATU"
817;"BOTUPORA"
818;"BOTUVERA"
819;"BOZANO"
820;"BRACO DO NORTE"
821;"BRACO DO TROMBUDO"
822;"BRAGA"
823;"BRAGANCA"
824;"BRAGANCA PAULISTA"
825;"BRAGANEY"
826;"BRANQUINHA"
827;"BRASILANDIA"
828;"BRASILANDIA DE MINAS"
829;"BRASILANDIA DO SUL"
830;"BRASILEIA"
831;"BRASILEIRA"
832;"BRASILIA"
833;"BRASILIA DE MINAS"
834;"BRASIL NOVO"
835;"BRASNORTE"
836;"BRASOPOLIS"
837;"BRAS PIRES"
838;"BRAUNA"
839;"BRAUNAS"
840;"BRAZABRANTES"
841;"BREJETUBA"
842;"BREJINHO"
843;"BREJINHO"
844;"BREJINHO DE NAZARE"
845;"BREJO"
846;"BREJO ALEGRE"
847;"BREJO DA MADRE DE DEUS"
